"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ASCENDI-03PBECJ\Processor(_Total)\% Processor Time","\\ASCENDI-03PBECJ\System\Processor Queue Length","\\ASCENDI-03PBECJ\Processor Information(_Total)\% Privileged Time","\\ASCENDI-03PBECJ\Memory\Available MBytes","\\ASCENDI-03PBECJ\Memory\Pages/sec","\\ASCENDI-03PBECJ\Memory\Pool Nonpaged Bytes","\\ASCENDI-03PBECJ\Process(_Total)\Working Set","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Disk Reads/sec","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Disk Writes/sec","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\ASCENDI-03PBECJ\PhysicalDisk(_Total)\Current Disk Queue Length","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Bytes Total/sec","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Packets/sec","\\ASCENDI-03PBECJ\Network Interface(Intel[R] PRO_1000 MT Desktop Adapter)\Output Queue Length"
"08/25/2025 15:28:15.786","13.659025264427649304","0","18.266062986364371312","4522","0","252129280","7610920960","0","4.7910385540262359072","0","0.0016003791666666666599","0","412.42856885909185394","3.5932789155196771524","0"
"08/25/2025 15:28:20.421","13.678865698200192824","0","18.459424467883099652","4525","0","252112896","7609819136","0","0.39956306979192113271","0","0.0020641999999999999758","0","91.100379912558011597","1.1986892093757632871","0"
"08/25/2025 15:28:25.472","22.481837243808687532","0","17.631825624911989792","4522","0","252088320","7609110528","0","6.4295048692549130465","0","0.0015932875000000000423","0","71.729163697625125451","1.2055321629852961962","0"
"08/25/2025 15:28:30.586","24.540274176675367812","0","19.704706406253372108","4524","0","252108800","7607590912","0","2.3902630721545325976","0","0.0011201083333333332424","0","47.406884264398229334","0.7967543573848442362","0"
"08/25/2025 15:28:36.166","29.48077160305091482","0","16.171036658410930187","4524","0","252166144","7607205888","0","3.2015500624782498029","0","0.001513900000000000098","0","71.434585769045952475","1.2005812734293437316","0"
"08/25/2025 15:28:41.775","30.845677803769245173","0","17.202354476078365764","4527","0","252362752","7606886400","0","21.352245702486388979","0","0.0027128457943925233034","3","232.48005834950131998","3.3924128686193326665","0"
"08/25/2025 15:28:47.910","36.330830391640056121","0","15.854184744598070367","4528","0","252137472","7606943744","0","12.821115608139669106","0","0.0022489484374999999493","0","440.52551909842395617","4.0065986275436467068","0"
"08/25/2025 15:28:54.076","36.708344383122835097","0","14.951782316516714744","4532","0","252125184","7606214656","0","1.7988512895435231354","0","0.0013988222222222222637","0","128.51793101960950594","1.998723655048359138","0"
"08/25/2025 15:29:00.805","42.678776236077290207","0","14.105859855202918851","4532","0","252100608","7605923840","0","9.6286884847665916709","0","0.0020863416666666665528","0","95.484494140602038215","1.6047814141277652045","0"
"08/25/2025 15:29:07.546","52.253933274621431337","0","21.903692214305021224","4524","3.5933439053503635208","252010496","7605694464","0","9.182989980339817393","0","0.0019419173913043476839","0","347.95546816809354596","3.1940834714225454505","0"
"08/25/2025 15:29:13.633","52.975252466725585521","0","31.237760647368546074","4609","0","252776448","7515275264","0","1.3970851216022890373","0","0.0018528285714285715018","0","0","0","0"
"08/25/2025 15:29:19.688","57.783730348112172237","0","32.077183725596000841","4600","0","252919808","7530344448","0","4.8045131674890120266","0","0.0036013541666666663323","0","7881.8038512657240062","23.021625594218182442","0"
"08/25/2025 15:29:25.150","40.785760937871160081","0","27.609846837118489304","4608","0","252846080","7516172288","0.20028109451615341841","17.023893033873040537","0.0023429000000000001908","0.0021496611764705883356","0","7994.820730895811721","19.82782835709918956","0"
"08/25/2025 15:29:30.610","32.612648028293811819","0","20.81799854215971024","4610","0.19968618517255393163","252870656","7517925376","0","1.5974894813804314531","0","0.001976299999999999845","0","203.67990887600501537","2.995292777588308919","0"
"08/25/2025 15:29:35.530","28.025357160485143027","0","24.372639458363568821","4593","0","252850176","7521718272","0","3.0028961131273446128","0","0.0028709266666666669564","0","119.1148791540513372","2.0019307420848964085","0"
"08/25/2025 15:29:40.434","22.387270056935182794","0","20.311868372550854644","4603","0","252895232","7506853888","0","10.002493421560126663","0","0.0023390699999999999513","0","47.611868686626202418","0.8001994737248101508","0"
"08/25/2025 15:29:44.865","21.689083888369118824","0","30.329804317181025652","4606","0","252874752","7506038784","0","2.2001217107330379719","0","0.0020368545454545455148","0","71.403950066517680284","1.2000663876725661261","0"
"08/25/2025 15:29:49.282","22.271844490522429538","0","30.508399793748651518","4609","0","252833792","7500947456","0","6.2007220120710861977","0","0.0017787612903225806602","0","556.4647947607019205","8.6010015006147320094","0"
"08/25/2025 15:29:53.268","6.845307182052362549","0","27.439717668574068909","4619","0","252817408","7490297856","0","1.1998463236828627032","0","0.0017278166666666666066","0","530.33207506782525797","5.3993084565728821644","0"
"08/25/2025 15:29:57.247","6.2662943372611241699","4","26.802620981499536867","4622","0","252780544","7489060864","0","3.7993794853424538438","0","0.0018173789473684208266","0","57.190659621470615548","0.79986936533525343496","0"
